127.0.0.1 - - [05/May/2022:21:39:43 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2022:21:41:00 +0900] "GET /resources/assets/blogy/js/aos.js HTTP/1.1" 200 14239
0:0:0:0:0:0:0:1 - - [05/May/2022:21:41:00 +0900] "GET /resources/assets/tour/js/aos.js HTTP/1.1" 200 14212
0:0:0:0:0:0:0:1 - - [05/May/2022:21:41:00 +0900] "GET /resources/assets/blogy/js/glightbox.min.js HTTP/1.1" 200 54228
0:0:0:0:0:0:0:1 - - [05/May/2022:21:41:00 +0900] "GET /resources/assets/blogy/js/counter.js HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [05/May/2022:21:41:00 +0900] "GET /resources/assets/blogy/js/custom.js HTTP/1.1" 200 2514
0:0:0:0:0:0:0:1 - - [05/May/2022:21:41:00 +0900] "GET /resources/assets/property/js/tiny-slider.js HTTP/1.1" 200 99867
0:0:0:0:0:0:0:1 - - [05/May/2022:21:41:00 +0900] "GET /resources/assets/property/js/navbar.js HTTP/1.1" 200 2359
0:0:0:0:0:0:0:1 - - [05/May/2022:21:41:00 +0900] "GET /resources/assets/property/js/aos.js HTTP/1.1" 200 14239
0:0:0:0:0:0:0:1 - - [05/May/2022:21:41:00 +0900] "GET /resources/assets/property/js/counter.js HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [05/May/2022:21:41:00 +0900] "GET /resources/assets/property/js/custom.js HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [05/May/2022:21:41:00 +0900] "GET /resources/assets/property/images/img_1.jpg HTTP/1.1" 200 43208
0:0:0:0:0:0:0:1 - - [05/May/2022:21:41:00 +0900] "GET /resources/assets/property/images/img_2.jpg HTTP/1.1" 200 44360
0:0:0:0:0:0:0:1 - - [05/May/2022:21:41:00 +0900] "GET /resources/assets/property/images/img_3.jpg HTTP/1.1" 200 36047
0:0:0:0:0:0:0:1 - - [05/May/2022:21:41:00 +0900] "GET /resources/assets/property/images/person_2.jpg HTTP/1.1" 200 60112
0:0:0:0:0:0:0:1 - - [05/May/2022:21:41:00 +0900] "GET /resources/assets/property/images/hero_bg_3.jpg HTTP/1.1" 200 374988
0:0:0:0:0:0:0:1 - - [05/May/2022:21:41:00 +0900] "GET /resources/assets/property/images/hero_bg_2.jpg HTTP/1.1" 200 444234
